Year,Player,School,Pos,Round,Pick,draft_pick_value,w_av,expected_w_av_from_pick,over_expected_w_av,beat_pick_expectation,college_match_score,college_match_reason,height_inches,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,combine_missing_40yd,combine_missing_vertical,combine_missing_broad_jump,combine_missing_bench,combine_missing_3cone,combine_missing_shuttle,cfbd_seasons_played,cfbd_final_conference,cfbd_team_talent,cfbd_career_receiving_rec,cfbd_career_receiving_yds,cfbd_career_receiving_td,cfbd_career_receiving_ypr,cfbd_career_receiving_yds_per_season,cfbd_final_receiving_rec,cfbd_final_receiving_yds,cfbd_final_receiving_td,cfbd_final_receiving_ypr,cfbd_final_yards_per_reception
2010,Emmanuel Sanders,SMU,WR,3.0,82.0,0.11043152607484653,63.0,17.83105256496797,45.16894743503203,1,12.5,"exact_name,school,position,final_season",71.0,186.0,4.4,39.5,12.0,126.0,6.64,4.1,0,0,0,0,0,0,4.0,Conference USA,,285.0,3791.0,34.0,53.2,947.75,98.0,1339.0,7.0,13.7,13.66326530612245
2010,Jordan Shipley,Texas,WR,3.0,84.0,0.1091089451179962,7.0,17.551054022986932,-10.551054022986932,0,12.5,"exact_name,school,position,final_season",71.0,193.0,4.6,36.5,16.0,116.0,,,0,0,0,0,1,1,4.0,Big 12,,248.0,3191.0,33.0,54.400000000000006,797.75,116.0,1485.0,13.0,12.8,12.801724137931034
2010,Golden Tate,Notre Dame,WR,2.0,60.0,0.12909944487358055,58.0,21.46065186581938,36.53934813418062,1,12.5,"exact_name,school,position,final_season",70.0,199.0,4.42,35.0,17.0,120.0,7.12,4.34,0,0,0,0,0,0,3.0,FBS Independents,,157.0,2707.0,26.0,56.5,902.3333333333334,93.0,1496.0,15.0,16.1,16.086021505376344
2010,Demaryius Thomas,Georgia Tech,WR,1.0,22.0,0.21320071635561041,69.0,33.11839753872284,35.88160246127716,1,12.5,"exact_name,school,position,final_season",75.0,224.0,4.52,,,,,,0,1,1,1,1,1,3.0,ACC,,120.0,2339.0,15.0,57.1,779.6666666666666,46.0,1154.0,8.0,25.1,25.08695652173913
2010,Damian Williams,USC,WR,3.0,77.0,0.11396057645963795,10.0,18.562072035042107,-8.562072035042107,0,12.5,"exact_name,school,position,final_season",73.0,197.0,4.52,38.0,19.0,118.0,6.79,4.24,0,0,0,0,0,0,2.0,Pac-10,,128.0,1879.0,15.0,29.4,939.5,70.0,1010.0,6.0,14.4,14.428571428571429
2010,Kyle Williams,Arizona State,WR,6.0,206.0,0.06967330142916177,6.0,7.127782810917331,-1.1277828109173313,0,11.0,"exact_name,school,position",70.0,188.0,4.4,33.0,11.0,118.0,7.0,4.19,0,0,0,0,0,0,8.0,Pac-12,686.44,270.0,3376.0,29.0,109.5,422.0,45.0,482.0,2.0,10.7,10.71111111111111
2010,Mike Williams,Syracuse,WR,4.0,101.0,0.09950371902099892,25.0,15.409559599713191,9.590440400286809,1,12.5,"exact_name,school,position,final_season",73.0,221.0,4.53,33.5,8.0,116.0,6.9,4.31,0,0,0,0,0,0,3.0,Big East,,133.0,2044.0,20.0,48.4,681.3333333333334,49.0,746.0,6.0,15.2,15.224489795918368
2011,Vincent Brown,San Diego State,WR,3.0,82.0,0.11043152607484653,9.0,17.83105256496797,-8.831052564967969,0,12.5,"exact_name,school,position,final_season",71.0,187.0,4.68,33.5,12.0,121.0,6.64,4.25,0,0,0,0,0,0,4.0,Mountain West,,209.0,3110.0,23.0,58.1,777.5,69.0,1352.0,10.0,19.6,19.594202898550726
2011,Randall Cobb,Kentucky,WR,2.0,64.0,0.125,64.0,20.71075444321837,43.28924555678163,1,12.5,"exact_name,school,position,final_season",70.0,191.0,4.46,33.5,16.0,115.0,7.08,4.34,0,0,0,0,0,0,3.0,SEC,,144.0,1661.0,13.0,33.0,553.6666666666666,84.0,1017.0,7.0,12.1,12.107142857142858
2011,Tandon Doss,Indiana,WR,4.0,123.0,0.09016696346674323,4.0,13.119800522535527,-9.119800522535527,0,12.5,"exact_name,school,position,final_season",74.0,201.0,4.62,,14.0,,,,0,1,1,0,1,1,3.0,Big Ten,,154.0,1854.0,13.0,37.0,618.0,63.0,706.0,7.0,11.2,11.206349206349206
2011,Leonard Hankerson,Miami (FL),WR,3.0,79.0,0.1125087900926024,12.0,18.264122960795767,-6.264122960795767,0,9.5,"exact_name,position,final_season",73.0,209.0,4.4,36.0,14.0,117.0,6.94,4.21,0,0,0,0,0,0,4.0,ACC,,134.0,2160.0,22.0,57.1,540.0,72.0,1156.0,13.0,16.1,16.055555555555557
2011,Dwayne Harris,East Carolina,WR,6.0,176.0,0.07537783614444091,12.0,8.956581849900225,3.0434181500997752,1,12.5,"exact_name,school,position,final_season",70.0,203.0,4.53,34.0,10.0,111.0,6.77,4.21,0,0,0,0,0,0,4.0,Conference USA,,268.0,3001.0,20.0,43.7,750.25,101.0,1123.0,10.0,11.1,11.118811881188119
2011,Jerrel Jernigan,Troy,WR,3.0,83.0,0.10976425998969035,2.0,17.690209904469953,-15.690209904469953,0,12.5,"exact_name,school,position,final_season",69.0,185.0,4.46,37.5,11.0,124.0,7.07,4.25,0,0,0,0,0,0,4.0,Sun Belt,,262.0,3128.0,18.0,47.8,782.0,84.0,822.0,6.0,9.8,9.785714285714286
2011,Julio Jones,Alabama,WR,1.0,6.0,0.4082482904638631,101.0,48.215256652549414,52.784743347450586,1,12.5,"exact_name,school,position,final_season",75.0,220.0,4.34,38.5,17.0,135.0,6.66,4.25,0,0,0,0,0,0,3.0,SEC,,179.0,2653.0,15.0,44.3,884.3333333333334,78.0,1133.0,7.0,14.5,14.525641025641026
2011,Jeremy Kerley,TCU,WR,5.0,153.0,0.08084520834544433,23.0,10.58383000838299,12.41616999161701,1,12.5,"exact_name,school,position,final_season",69.0,189.0,4.56,34.5,16.0,120.0,,,0,0,0,0,1,1,4.0,Mountain West,,120.0,1299.0,12.0,41.8,324.75,56.0,575.0,10.0,10.3,10.267857142857142
