Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,height_inches,match_name,match_year,pfr_player_id,gsis_id,w_av,probowls,allpro,hof,age,college,team,college_index,college_match_score,college_match_reason,player,team_college,position,cfbd_career_defensive_pd,cfbd_career_defensive_qb_hur,cfbd_career_defensive_sacks,cfbd_career_defensive_solo,cfbd_career_defensive_td,cfbd_career_defensive_tfl,cfbd_career_defensive_tot,cfbd_career_fumbles_fum,cfbd_career_fumbles_lost,cfbd_career_fumbles_rec,cfbd_career_interceptions_avg,cfbd_career_interceptions_int,cfbd_career_interceptions_td,cfbd_career_interceptions_yds,cfbd_career_kicking_fga,cfbd_career_kicking_fgm,cfbd_career_kicking_long,cfbd_career_kicking_pct,cfbd_career_kicking_pts,cfbd_career_kicking_xpa,cfbd_career_kicking_xpm,cfbd_career_kickreturns_avg,cfbd_career_kickreturns_long,cfbd_career_kickreturns_no,cfbd_career_kickreturns_td,cfbd_career_kickreturns_yds,cfbd_career_passing_att,cfbd_career_passing_completions,cfbd_career_passing_int,cfbd_career_passing_pct,cfbd_career_passing_td,cfbd_career_passing_yds,cfbd_career_passing_ypa,cfbd_career_punting_in_20,cfbd_career_punting_long,cfbd_career_punting_no,cfbd_career_punting_tb,cfbd_career_punting_yds,cfbd_career_punting_ypp,cfbd_career_puntreturns_avg,cfbd_career_puntreturns_long,cfbd_career_puntreturns_no,cfbd_career_puntreturns_td,cfbd_career_puntreturns_yds,cfbd_career_receiving_long,cfbd_career_receiving_rec,cfbd_career_receiving_td,cfbd_career_receiving_yds,cfbd_career_receiving_ypr,cfbd_career_rushing_car,cfbd_career_rushing_long,cfbd_career_rushing_td,cfbd_career_rushing_yds,cfbd_career_rushing_ypc,cfbd_seasons_played,cfbd_final_year,cfbd_final_defensive_pd,cfbd_final_defensive_qb_hur,cfbd_final_defensive_sacks,cfbd_final_defensive_solo,cfbd_final_defensive_td,cfbd_final_defensive_tfl,cfbd_final_defensive_tot,cfbd_final_fumbles_fum,cfbd_final_fumbles_lost,cfbd_final_fumbles_rec,cfbd_final_interceptions_avg,cfbd_final_interceptions_int,cfbd_final_interceptions_td,cfbd_final_interceptions_yds,cfbd_final_kicking_fga,cfbd_final_kicking_fgm,cfbd_final_kicking_long,cfbd_final_kicking_pct,cfbd_final_kicking_pts,cfbd_final_kicking_xpa,cfbd_final_kicking_xpm,cfbd_final_kickreturns_avg,cfbd_final_kickreturns_long,cfbd_final_kickreturns_no,cfbd_final_kickreturns_td,cfbd_final_kickreturns_yds,cfbd_final_passing_att,cfbd_final_passing_completions,cfbd_final_passing_int,cfbd_final_passing_pct,cfbd_final_passing_td,cfbd_final_passing_yds,cfbd_final_passing_ypa,cfbd_final_punting_in_20,cfbd_final_punting_long,cfbd_final_punting_no,cfbd_final_punting_tb,cfbd_final_punting_yds,cfbd_final_punting_ypp,cfbd_final_puntreturns_avg,cfbd_final_puntreturns_long,cfbd_final_puntreturns_no,cfbd_final_puntreturns_td,cfbd_final_puntreturns_yds,cfbd_final_receiving_long,cfbd_final_receiving_rec,cfbd_final_receiving_td,cfbd_final_receiving_yds,cfbd_final_receiving_ypr,cfbd_final_rushing_car,cfbd_final_rushing_long,cfbd_final_rushing_td,cfbd_final_rushing_yds,cfbd_final_rushing_ypc,cfbd_final_conference,cfbd_team_talent
2010,Sam Bradford,QB,Oklahoma,6-4,236.0,4.79,,,,,,True,1.0,1.0,76.0,sam bradford,2010,BradSa00,00-0027854,44.0,0.0,0.0,False,22.0,Oklahoma,STL,18614.0,12.5,"exact_name,school,position,final_season",Sam Bradford,Oklahoma,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,894.0,605.0,16.0,1.94,88.0,8406.0,27.0,,,,,,,,,,,,,,,,,77.0,31.0,5.0,36.0,-3.2,3.0,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,39.0,0.0,0.565,2.0,562.0,8.1,,,,,,,,,,,,,,,,,4.0,5.0,0.0,-18.0,-4.5,Big 12,
2010,Dezmon Briscoe,WR,Kansas,6-2,207.0,4.66,33.0,9.0,115.0,7.1,4.57,True,6.0,191.0,74.0,dezmon briscoe,2010,BrisDe00,00-0027789,4.0,0.0,0.0,False,21.0,Kansas,CIN,6668.0,12.5,"exact_name,school,position,final_season",Dezmon Briscoe,Kansas,WR,,,,,,,,,,,,,,,,,,,,,,22.7,98.0,19.0,1.0,432.0,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,0.0,177.0,217.0,31.0,3232.0,43.1,4.0,33.0,1.0,37.0,18.5,3.0,2009.0,,,,,,,,,,,,,,,,,,,,,,22.7,98.0,19.0,1.0,432.0,,,,,,,,,,,,,,,,,,,74.0,84.0,9.0,1337.0,15.9,2.0,20.0,1.0,19.0,9.5,Big 12,
2010,Chris Brown,RB,Oklahoma,5-10,210.0,4.55,36.0,17.0,115.0,,,False,,,70.0,chris brown,2010,,,,,,,,,,3751.0,12.5,"exact_name,school,position,final_season",Chris Brown,Oklahoma,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,44.0,3.0,323.0,22.5,627.0,144.0,42.0,2933.0,18.5,4.0,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,1.0,131.0,6.9,182.0,48.0,7.0,749.0,4.1,Big 12,
2010,Antonio Brown,WR,Central Michigan,5-10,186.0,4.56,33.5,13.0,105.0,6.98,4.18,True,6.0,195.0,70.0,antonio brown,2010,BrowAn04,00-0027793,92.0,7.0,4.0,False,22.0,Central Michigan,PIT,1134.0,12.5,"exact_name,school,position,final_season",Antonio Brown,Central Michigan,WR,,,,,,,,,,,,,,,,,,,,,,22.1,95.0,35.0,1.0,773.0,5.0,2.0,0.0,1.0,1.0,26.0,13.0,,,,,,,29.9,192.0,79.0,3.0,822.0,251.0,301.0,22.0,3176.0,31.6,71.0,79.0,4.0,518.0,20.7,3.0,2009.0,,,,,,,,,,,,,,,,,,,,,,22.1,95.0,35.0,1.0,773.0,2.0,1.0,0.0,0.5,0.0,24.0,12.0,,,,,,,9.6,75.0,28.0,2.0,270.0,82.0,110.0,9.0,1198.0,10.9,42.0,29.0,3.0,341.0,8.1,Mid-American,
2010,Jarrett Brown,QB,West Virginia,6-3,224.0,4.5,34.5,,114.0,7.24,4.39,False,,,75.0,jarrett brown,2010,,,,,,,,,,10357.0,12.5,"exact_name,school,position,final_season",Jarrett Brown,West Virginia,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,421.0,268.0,13.0,2.607,16.0,2983.0,26.299999999999997,,,,,,,,,,,,0.0,1.0,0.0,-1.0,-1.0,235.0,162.0,13.0,1124.0,20.7,4.0,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,187.0,9.0,0.632,11.0,2144.0,7.2,,,,,,,,,,,,,,,,,118.0,36.0,6.0,452.0,3.8,Big East,
2010,Levi Brown,QB,Troy,6-3,229.0,4.93,31.5,20.0,106.0,7.07,4.43,True,7.0,209.0,75.0,levi brown,2010,BrowLe00,00-0027804,0.0,0.0,0.0,False,23.0,Troy,BUF,14345.0,12.5,"exact_name,school,position,final_season",Levi Brown,Troy,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,830.0,522.0,12.0,1.254,38.0,6284.0,14.600000000000001,,,,,,,,,,,,17.0,1.0,0.0,17.0,17.0,87.0,50.0,1.0,24.0,0.6,2.0,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,504.0,321.0,9.0,0.637,23.0,4254.0,8.4,,,,,,,,,,,,17.0,1.0,0.0,17.0,17.0,54.0,37.0,1.0,7.0,0.1,Sun Belt,
2010,Dez Bryant,WR,Oklahoma State,6-2,225.0,4.52,,,,,,True,1.0,24.0,74.0,dez bryant,2010,BryaDe01,00-0027902,61.0,3.0,1.0,False,21.0,Oklahoma St.,DAL,6663.0,12.5,"exact_name,school,position,final_season",Dez Bryant,Oklahoma State,WR,,,,,,,,,,,,,,,,,,,,,,21.5,25.0,2.0,0.0,43.0,,,,,,,,,,,,,,59.8,169.0,25.0,3.0,431.0,165.0,142.0,29.0,2356.0,50.6,1.0,7.0,0.0,7.0,7.0,3.0,2009.0,,,,,,,,,,,,,,,,,,,,,,21.5,25.0,2.0,0.0,43.0,,,,,,,,,,,,,,37.0,82.0,3.0,1.0,111.0,46.0,17.0,4.0,323.0,19.0,,,,,,Big 12,
2010,Nate Byham,TE,Pittsburgh,6-4,268.0,4.97,29.0,,109.0,,,True,6.0,182.0,76.0,nate byham,2010,ByhaNa00,00-0027780,0.0,0.0,0.0,False,22.0,Pittsburgh,SFO,,0.0,no_name_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Sean Canfield,QB,Oregon State,6-4,223.0,4.93,29.5,,100.0,7.26,4.39,True,7.0,239.0,76.0,sean canfield,2010,CanfSe00,00-0027830,,0.0,0.0,False,24.0,Oregon St.,NOR,18795.0,12.5,"exact_name,school,position,final_season",Sean Canfield,Oregon State,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,861.0,552.0,26.0,2.545,38.0,5970.0,28.900000000000002,,,,,,,,,,,,,,,,,93.0,28.0,3.0,-313.0,-14.5,4.0,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,446.0,303.0,7.0,0.679,21.0,3271.0,7.3,,,,,,,,,,,,,,,,,48.0,7.0,2.0,-160.0,-3.3,Pac-10,
2010,Chris Carter,WR,California-Davis,5-11,191.0,4.49,,12.0,,,,True,5.0,162.0,71.0,chris carter,2010,,,,,,,,,,,6.0,low_confidence:exact_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
